codeiso2,power_line_range_length,power_line_total_length,power_plant_count,power_plant_output_mw
AF,"['""7""', '""0""', '""0""', '""1,002""', '""0""', '""1,300""', '""338""', '""0""', '""626""']",3276,75,600
AL,"['""2""', '""0""', '""57""', '""1,109""', '""0""', '""846""', '""251""', '""0""', '""479""']",2747,48,2228
DZ,"['""73""', '""219""', '""267""', '""10,494""', '""23""', '""15,335""', '""5,921""', '""0""', '""20,445""']",52780,134,25431
AD,"['""0""', '""0""', '""0""', '""4""', '""21""', '""0""', '""0""', '""0""', '""24""']",50,3,45
AO,"['""0""', '""41""', '""0""', '""1,026""', '""168""', '""2,588""', '""2,126""', '""0""', '""621""']",6572,73,7981
AG,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""47""']",47,5,3
AR,"['""35""', '""648""', '""4,474""', '""764""', '""34,148""', '""2,621""', '""16,089""', '""0""', '""3,385""']",62167,354,36650
AM,"['""0""', '""7""', '""341""', '""1,090""', '""0""', '""1,351""', '""201""', '""0""', '""2,181""']",5173,82,4835
AU,"['""977""', '""27,032""', '""10,295""', '""25,085""', '""24,555""', '""15,661""', '""9,523""', '""0""', '""7,973""']",121104,759,75958
AT,"['""1,631""', '""8,002""', '""5,310""', '""8,497""', '""0""', '""1,686""', '""1,344""', '""0""', '""8,319""']",34791,1382,21934
AZ,"['""0""', '""0""', '""179""', '""2,504""', '""80""', '""1,160""', '""2,542""', '""0""', '""3,180""']",9647,80,7450
BH,"['""0""', '""0""', '""0""', '""0""', '""0""', '""19""', '""0""', '""0""', '""13""']",32,9,7035
BD,"['""2""', '""0""', '""2""', '""0""', '""4,560""', '""2,518""', '""1,759""', '""0""', '""281""']",9124,180,23148
BB,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,36,1
BY,"['""250""', '""15,329""', '""11,233""', '""15,655""', '""0""', '""1,674""', '""4,883""', '""0""', '""7,045""']",56072,657,11719
